Station;PM10  µg/m³
Moyenne;95
Charpennes s;80
Charpennes m;134
Brotteaux s;74
Brotteaux m;116
Part-Dieu s;111
Part-Dieu m;127
Place Guichard s;76
Place Guichard m;127
Saxe-Gambetta s;113
Saxe-Gambetta m;146
Jean Macé s;61
Jean Macé m;137
Jean Jaurès s;45
Jean Jaurès m;155
Debourg s;41
Debourg m;138
Gerland s;56
Gerland m;63
Gare d'Oullins s;57
Gare d'Oullins m;48
