;Station;PM10  µg/m³;Matin;Soir
0;Charpennes s;80;0;1
1;Charpennes m;134;1;0
2;Brotteaux s;74;0;1
3;Brotteaux m;116;1;0
4;Part-Dieu s;111;0;1
5;Part-Dieu m;127;1;0
6;Place Guichard s;76;0;1
7;Place Guichard m;127;1;0
8;Saxe-Gambetta s;113;0;1
9;Saxe-Gambetta m;146;1;0
10;Jean Macé s;61;0;1
11;Jean Macé m;137;1;0
12;Jean Jaurès s;45;0;1
13;Jean Jaurès m;155;1;0
14;Debourg s;41;0;1
15;Debourg m;138;1;0
16;Gerland s;56;0;1
17;Gerland m;63;1;0
18;Gare d'Oullins s;57;0;1
19;Gare d'Oullins m;48;1;0
